MSOA11CD,year,income,imd,oa,pop,unem,edu,mig
E02000001,2011,55793,0.054,0,7375,3,68.4,37.4
E02000001,2021,62700,0.059,1,8583,3.5,74.2,24.7
E02000002,2011,26593,0.307,0,6775,7.7,18.2,18.1
E02000002,2021,32500,0.211,0,8281,4.7,30.9,6.5
E02000003,2011,30243,0.19,0,10045,6.4,23.5,18.7
E02000003,2021,39200,0.142,0,11542,4.3,34,9.2
E02000004,2011,29721,0.153,0,6182,6.7,17.9,15.5
E02000004,2021,38900,0.138,0,6640,4.2,30.7,8.7
E02000005,2011,27114,0.23,0,8562,6.6,17.6,18.8
E02000005,2021,35200,0.165,0,11082,4,33.8,8.4
E02000007,2011,26593,0.332,0,8791,8.8,17.6,22
E02000007,2021,28400,0.217,0,10162,4.4,31.7,8.1
E02000008,2011,26071,0.274,0,11569,7.3,16.2,19
E02000008,2021,30800,0.206,0,13250,5,28.5,7.1
E02000009,2011,26593,0.245,0,8395,7.6,19.6,22.7
E02000009,2021,34600,0.215,0,12863,4.7,33.5,8.6
E02000010,2011,26071,0.282,0,8615,6.8,17.4,18.5
E02000010,2021,29300,0.221,0,9485,4.6,31,7.2
E02000011,2011,28679,0.178,0,6187,6.1,19.5,20.7
E02000011,2021,33500,0.148,0,7030,4.3,31.1,8.2
E02000012,2011,29721,0.173,0,9888,4.9,24.8,17.1
E02000012,2021,41500,0.123,1,11513,3.8,34.2,6.7
E02000013,2011,26593,0.29,0,8402,6.6,17.1,17
E02000013,2021,32100,0.209,1,9398,4.4,30.1,7.9
E02000014,2011,26071,0.27,0,9402,7.4,16.6,19.3
E02000014,2021,29300,0.203,1,9865,4.9,28.3,7.1
E02000015,2011,26071,0.329,0,7563,9.3,18,22.1
E02000015,2021,30200,0.235,1,8228,5.5,32.6,7.1
E02000016,2011,26593,0.328,0,7676,8.2,35.9,35.2
E02000016,2021,35200,0.211,1,10568,6.3,43.9,16
E02000017,2011,28679,0.183,0,8498,6.1,29.7,26.8
E02000017,2021,40200,0.145,1,9133,4.5,34.6,10.2
E02000018,2011,26071,0.289,0,8890,7.7,18.3,21.8
E02000018,2021,31000,0.209,1,9552,5.3,31.7,7.8
E02000019,2011,27114,0.256,0,8276,7.2,19.9,17.6
E02000019,2021,34500,0.197,1,9663,5,31.8,9.1
E02000020,2011,27114,0.254,0,9276,7.6,24.1,20.8
E02000020,2021,35200,0.194,1,14055,4.8,37.7,7.8
E02000021,2011,26593,0.243,0,7904,6.7,20.9,24
E02000021,2021,30100,0.184,1,8759,4.7,31.4,8.5
E02000022,2011,23986,0.44,0,8777,10.2,25.1,21.6
E02000022,2021,29000,0.255,1,7741,5.3,42.9,9.4
E02000023,2011,25550,0.335,0,6482,8.9,22.7,21.4
E02000023,2021,34700,0.237,1,8019,5.2,36.9,9
E02000024,2011,38586,0.063,0,10156,3.4,46.2,18.9
E02000024,2021,46600,0.061,0,10841,3.3,55.8,9.1
E02000025,2011,35979,0.118,0,7956,4.2,39.7,21.8
E02000025,2021,44400,0.109,0,8582,4.2,48.3,10.1
E02000026,2011,35457,0.09,0,6313,3.6,39.6,21.5
E02000026,2021,45300,0.079,0,6458,3,46.7,8.9
E02000027,2011,29721,0.197,0,9598,5.7,28.4,16.9
E02000027,2021,40800,0.155,0,9646,3.7,40.4,7.5
E02000028,2011,37543,0.112,0,6166,3.7,41.2,22.4
E02000028,2021,45400,0.099,0,6533,3.3,49.6,10.6
